"RetentionTime","TIC","Mass","Intensity"
185.499,1126,44,697
185.499,1126,163,186
185.499,1126,207.1,242
185.78502,1366,40.9,154
185.78502,1366,44,956
185.78502,1366,207,255
186.07002,1060,44,788
186.07002,1060,207,272
186.35598,1004,43.9,729
186.35598,1004,207,274
186.642,1116,44,867
186.642,1116,207,248
186.927,1209,41,173
186.927,1209,44,693
186.927,1209,207.1,342
187.21302,1237,43.9,939
187.21302,1237,207,298
187.49898,1042,44,813
187.49898,1042,206.9,229
187.785,1042,44,803
187.785,1042,207,239
188.07,1029,44,826
188.07,1029,207,203
188.35602,1039,44,879
188.35602,1039,207.1,160
188.64198,1070,43.9,834
188.64198,1070,207,235
188.92698,1079,44,877
188.92698,1079,207,201
189.213,1149,44,836
189.213,1149,207,312
189.49902,1051,43.9,843
189.49902,1051,207.1,207
189.78498,836,44,836
190.06998,1160,44,983
190.06998,1160,207.2,176
190.356,994,43.9,667
190.356,994,78.1,150
190.356,994,207,177
190.64202,1064,44,1064
190.92798,953,44.1,784
190.92798,953,207,168
191.21298,1081,43.9,862
191.21298,1081,207.1,218
191.499,1151,44,930
191.499,1151,207.2,221
191.78502,1206,41.1,182
191.78502,1206,44,782
191.78502,1206,207.1,240
192.07002,1574,44,1203
192.07002,1574,73.1,181
192.07002,1574,207,190
192.35598,1341,43,172
192.35598,1341,44,807
192.35598,1341,73,172
192.35598,1341,207.1,189
192.642,1116,44,860
192.642,1116,207,255
192.92802,880,44,705
192.92802,880,207,175
193.21302,1301,44,960
193.21302,1301,207.1,341
193.49898,1305,44,1015
193.49898,1305,207,290
193.785,1417,41.2,162
193.785,1417,44,1005
193.785,1417,207.1,249
194.07,801,44,801
194.35602,1013,44,837
194.35602,1013,207,176
194.64198,1377,44,991
194.64198,1377,76.8,159
194.64198,1377,207.1,226
194.928,1193,44,829
194.928,1193,55,173
194.928,1193,207,190
195.213,1161,44,977
195.213,1161,207,183
195.49902,1185,44,964
195.49902,1185,207.2,220
195.78498,1180,44,956
195.78498,1180,207.1,223
196.06998,1077,44,797
196.06998,1077,207,279
196.356,1121,44,1121
196.64202,1287,44,1133
196.64202,1287,207,153
196.92798,1017,44,850
196.92798,1017,207.1,166
197.21298,1402,43.9,1207
197.21298,1402,207.1,194
197.499,1137,44,899
197.499,1137,207,237
197.78502,1065,44,852
197.78502,1065,207,213
198.07002,1128,44,885
198.07002,1128,207.1,243
198.35598,964,43.9,964
198.642,1063,44,819
198.642,1063,207,244
198.92802,970,40.9,173
198.92802,970,44,797
199.21302,1346,41,159
199.21302,1346,44,781
199.21302,1346,77.1,184
199.21302,1346,207.1,220
199.49898,1101,44,1101
199.785,1086,44,864
199.785,1086,207.1,221
200.07102,1367,41.1,154
200.07102,1367,44,991
200.07102,1367,207,221
200.35602,1027,44,1027
200.64198,993,41,153
200.64198,993,44,840
200.928,1198,44,869
200.928,1198,77.9,162
200.928,1198,207.2,166
201.213,1343,44,1152
201.213,1343,207.1,190
201.49902,1099,44,875
201.49902,1099,207.2,223
201.78498,989,44,989
202.071,987,44,816
202.071,987,207,170
202.356,818,44,818
202.64202,1106,44,890
202.64202,1106,207.1,215
202.92798,946,44,789
202.92798,946,207,157
203.21298,995,44,763
203.21298,995,207,231
203.499,1064,43.9,837
203.499,1064,207.1,227
203.78502,1203,43.9,858
203.78502,1203,207,345
204.07098,978,44,817
204.07098,978,207.1,160
204.35598,1126,44,949
204.35598,1126,207.1,177
204.642,1096,44,1096
204.92802,985,44,712
204.92802,985,207,272
205.21302,1096,44,1096
205.49898,1352,44,1030
205.49898,1352,207,321
205.785,916,43.9,734
205.785,916,207.1,181
206.07102,800,43.9,800
206.35602,1408,44,1085
206.35602,1408,78.2,167
206.35602,1408,206.9,155
206.64198,1106,44,837
206.64198,1106,207,268
206.928,1121,43.9,1121
207.213,1246,44,1064
207.213,1246,206.9,182
207.49902,1092,44,1092
207.78498,1145,44,939
207.78498,1145,207.2,205
208.071,1121,43.9,842
208.071,1121,207.2,279
208.356,677,44,677
208.64202,1219,43.9,1031
208.64202,1219,206.9,187
208.92798,764,44,764
209.21298,1006,44,771
209.21298,1006,207,234
209.499,1126,44,905
209.499,1126,207.1,221
209.78502,986,44,774
209.78502,986,207.2,211
210.07098,1218,44,977
210.07098,1218,207,241
210.35598,1030,43.9,878
210.35598,1030,207.1,151
210.642,960,44,960
210.92802,2111,44,963
210.92802,2111,73.1,703
210.92802,2111,147.1,208
210.92802,2111,281,235
211.21398,11280,44,928
211.21398,11280,45,191
211.21398,11280,59,226
211.21398,11280,73,3621
211.21398,11280,74.1,360
211.21398,11280,75,170
211.21398,11280,132.8,156
211.21398,11280,147.1,1698
211.21398,11280,148.1,285
211.21398,11280,207,461
211.21398,11280,221.1,189
211.21398,11280,281.1,1290
211.21398,11280,282.1,416
211.21398,11280,283.1,253
211.21398,11280,327,472
211.21398,11280,327.9,169
211.21398,11280,341.1,223
211.21398,11280,400,165
211.49898,37056,44,869
211.49898,37056,45,619
211.49898,37056,59.1,456
211.49898,37056,73.1,10423
211.49898,37056,74,928
211.49898,37056,75.1,402
211.49898,37056,131.1,257
211.49898,37056,133.1,199
211.49898,37056,147.1,4949
211.49898,37056,148.2,846
211.49898,37056,149.1,336
211.49898,37056,191,240
211.49898,37056,207.1,859
211.49898,37056,208.1,152
211.49898,37056,221.1,646
211.49898,37056,265,170
211.49898,37056,281.1,4522
211.49898,37056,282.1,1313
211.49898,37056,283.1,885
211.49898,37056,284.2,215
211.49898,37056,325.1,343
211.49898,37056,326.1,275
211.49898,37056,327.1,1963
211.49898,37056,327.9,539
211.49898,37056,329,569
211.49898,37056,330,150
211.49898,37056,341.1,1144
211.49898,37056,342.2,256
211.49898,37056,342.9,153
211.49898,37056,383,251
211.49898,37056,385.2,160
211.49898,37056,399,590
211.49898,37056,400.1,199
211.49898,37056,415.2,877
211.49898,37056,416.1,283
211.785,53755,44,869
211.785,53755,44.9,603
211.785,53755,59,557
211.785,53755,73.1,11399
211.785,53755,74.1,1103
211.785,53755,75,541
211.785,53755,117.1,223
211.785,53755,131,253
211.785,53755,133.1,329
211.785,53755,147.1,7044
211.785,53755,148.1,1085
211.785,53755,149.1,428
211.785,53755,191,349
211.785,53755,207,883
211.785,53755,208.1,212
211.785,53755,221.2,1026
211.785,53755,249.1,171
211.785,53755,251.1,193
211.785,53755,265.1,236
211.785,53755,267.1,257
211.785,53755,281.1,8071
211.785,53755,282.1,2207
211.785,53755,283.2,1566
211.785,53755,284.1,328
211.785,53755,325,556
211.785,53755,326.1,226
211.785,53755,327.1,3172
211.785,53755,328,1101
211.785,53755,329.1,733
211.785,53755,329.9,194
211.785,53755,341.1,1433
211.785,53755,342.1,503
211.785,53755,343.1,357
211.785,53755,383.1,292
211.785,53755,384,246
211.785,53755,385.1,309
211.785,53755,399.2,1057
211.785,53755,400.1,372
211.785,53755,401.2,243
211.785,53755,415.2,1539
211.785,53755,416.2,747
211.785,53755,417.2,462
211.785,53755,418.2,261
212.07102,35237,43.1,179
212.07102,35237,44,853
212.07102,35237,45.1,164
212.07102,35237,59,262
212.07102,35237,73.1,5370
212.07102,35237,74.1,475
212.07102,35237,75.1,200
212.07102,35237,132.9,180
212.07102,35237,147.1,3633
212.07102,35237,148.1,585
212.07102,35237,149.1,164
212.07102,35237,191.1,170
212.07102,35237,193,169
