"SampleName","Position","MethodName","MethodPath","SamplePath","DataName","Type","Repeat","Date","PA","I.S.PA","File","ratio","ValuesPositive"
"MeOH Blk",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014001,"Blank",NA,"211014",34120.7942554892,3704482.27911876,"211014001.csv",0.00921067822292458,16.6237169196327
"25 ug/mL Etizolam",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014002,"Cal",NA,"211014",646493.663931885,3435529.59527398,"211014002.csv",0.188178749739552,28.6309941176218
"50ug/mL Etizolam",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014003,"Cal",NA,"211014",1635130.58112556,3260934.47023121,"211014003.csv",0.501430064312094,48.8683113548598
"75ug/mL Etizolam",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014004,"Cal",NA,"211014",2759853.33782012,3188719.99806068,"211014004.csv",0.865505073979092,71.2892384492371
"100ug/mL Etizolam",10,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014005,"Cal",NA,"211014",4433108.87781161,3386133.70831404,"211014005.csv",1.30919486933635,97.237362232679
"150ug/mL Etizolam",11,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014006,"Cal",NA,"211014",9365409.79925208,3935607.20585026,"211014006.csv",2.37966070021684,154.832301546976
"250ug/mL Etiolam",13,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014008,"Cal",NA,"211014",13762859.2899874,3137340.93572916,"211014008.csv",4.38679109855452,249.110964417884
"MeOH Blk",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014009,"Blank",NA,"211014",27491.4606062394,2911130.96281028,"211014009.csv",0.00944356710757538,16.6395688354483
"40ug/mL Etizolam Check Standard",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014010,"Sample",NA,"211014",949924.316320776,2884848.44620393,"211014010.csv",0.329280492211211,37.8635767348087
"125ug/mL Etizolam Check Standard",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014011,"Sample",NA,"211014",5850063.18120973,3053309.93688196,"211014011.csv",1.91597423849602,130.658004893308
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014030,"Blank",NA,"211014",17264.8607181762,3346884.13227449,"211014030.csv",0.00515848772644641,16.3478012320591
"FL21/0674-1",23,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014031,"Sample",NA,"211014",29260361.1149347,3433097.08963599,"211014031.csv",8.52302173546661,409.312698630431
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014032,"Blank",NA,"211014",21615.1937844784,3336764.58721993,"211014032.csv",0.00647788994982334,16.4376602551431
"FL21/0522-2",24,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014033,"Sample",NA,"211014",2785641.00007931,3264626.06069764,"211014033.csv",0.853280268026785,70.5538747984985
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014034,"Blank",NA,"211014",3883.37464615304,3048866.3592944,"211014034.csv",0.00127371100878681,16.0831114105476
